call_id,agent,date,time,topic,answered,resolved,answerSpeed,avgTalkDuration,rating,dayOfWeek,dayOfMonth,hour,month,talkDuration(min)
ID0023,Martha,2021-01-01,12:02:53,Technical Support,,,,,,Friday,1,12,January,
ID0024,Joe,2021-01-01,12:02:53,Technical Support,,,68.0,0 days 00:05:25,2,Friday,1,12,January,5.0
ID0025,Diane,2021-01-01,12:30:14,Streaming,,,97.0,0 days 00:04:09,3,Friday,1,12,January,4.0
ID0026,Dan,2021-01-01,12:30:14,Payment related,,,,,,Friday,1,12,January,
ID0027,Joe,2021-01-01,12:40:19,Streaming,,,39.0,0 days 00:04:00,3,Friday,1,12,January,4.0
ID0028,Martha,2021-01-01,12:40:19,Contract related,,,51.0,0 days 00:02:34,4,Friday,1,12,January,3.0
ID0029,Joe,2021-01-01,12:40:19,Technical Support,,,106.0,0 days 00:02:09,4,Friday,1,12,January,2.0
ID0030,Stewart,2021-01-01,12:40:19,Streaming,,,107.0,0 days 00:05:55,3,Friday,1,12,January,6.0
ID0031,Joe,2021-01-01,13:24:58,Admin Support,,,22.0,0 days 00:05:08,3,Friday,1,13,January,5.0
ID0032,Joe,2021-01-01,13:24:58,Streaming,,,122.0,0 days 00:02:08,4,Friday,1,13,January,2.0
ID0033,Diane,2021-01-01,13:33:36,Technical Support,,,57.0,0 days 00:06:49,3,Friday,1,13,January,7.0
ID0034,Jim,2021-01-01,13:33:36,Payment related,,,53.0,0 days 00:01:44,2,Friday,1,13,January,2.0
ID0035,Becky,2021-01-01,13:42:14,Streaming,,,119.0,0 days 00:01:31,5,Friday,1,13,January,2.0
ID0036,Diane,2021-01-01,13:42:14,Streaming,,,,,,Friday,1,13,January,
ID0037,Martha,2021-01-01,13:42:14,Technical Support,,,20.0,0 days 00:01:12,2,Friday,1,13,January,1.0
ID0038,Joe,2021-01-01,13:42:14,Technical Support,,,52.0,0 days 00:00:36,3,Friday,1,13,January,1.0
ID0039,Stewart,2021-01-01,14:38:24,Contract related,,,74.0,0 days 00:06:41,1,Friday,1,14,January,7.0
ID0040,Greg,2021-01-01,14:38:24,Technical Support,,,49.0,0 days 00:02:29,3,Friday,1,14,January,2.0
ID0041,Jim,2021-01-01,14:47:02,Technical Support,,,27.0,0 days 00:02:09,5,Friday,1,14,January,2.0
ID0042,Greg,2021-01-01,14:47:02,Contract related,,,100.0,0 days 00:04:54,5,Friday,1,14,January,5.0
ID0043,Diane,2021-01-01,14:47:02,Technical Support,,,45.0,0 days 00:06:21,3,Friday,1,14,January,6.0
ID0044,Becky,2021-01-01,14:47:02,Payment related,,,98.0,0 days 00:03:14,5,Friday,1,14,January,3.0
ID0045,Diane,2021-01-01,15:44:38,Admin Support,,,25.0,0 days 00:05:13,5,Friday,1,15,January,5.0
ID0046,Jim,2021-01-01,15:44:38,Contract related,,,,,,Friday,1,15,January,
ID0047,Dan,2021-01-01,17:13:55,Admin Support,,,107.0,0 days 00:02:22,3,Friday,1,17,January,2.0
ID0048,Martha,2021-01-01,17:13:55,Contract related,,,,,,Friday,1,17,January,
ID0049,Joe,2021-01-01,17:25:26,Technical Support,,,104.0,0 days 00:03:35,5,Friday,1,17,January,4.0
ID0050,Dan,2021-01-01,17:25:26,Technical Support,,,,,,Friday,1,17,January,
ID0051,Martha,2021-01-01,17:35:31,Contract related,,,,,,Friday,1,17,January,
ID0052,Jim,2021-01-01,17:35:31,Admin Support,,,,,,Friday,1,17,January,
ID0053,Stewart,2021-01-01,17:36:58,Payment related,,,13.0,0 days 00:01:15,5,Friday,1,17,January,1.0
ID0054,Dan,2021-01-01,17:36:58,Payment related,,,119.0,0 days 00:02:32,5,Friday,1,17,January,3.0
ID0055,Becky,2021-01-01,17:44:10,Streaming,,,35.0,0 days 00:01:19,3,Friday,1,17,January,1.0
ID0056,Dan,2021-01-01,17:44:10,Streaming,,,83.0,0 days 00:06:45,4,Friday,1,17,January,7.0
ID0057,Jim,2021-01-01,17:57:07,Technical Support,,,48.0,0 days 00:02:52,2,Friday,1,17,January,3.0
ID0058,Stewart,2021-01-01,17:57:07,Admin Support,,,45.0,0 days 00:03:23,5,Friday,1,17,January,3.0
ID0059,Dan,2021-01-02,09:05:46,Technical Support,,,65.0,0 days 00:06:00,5,Saturday,2,9,January,6.0
ID0060,Dan,2021-01-02,09:05:46,Contract related,,,50.0,0 days 00:04:26,3,Saturday,2,9,January,4.0
ID0061,Diane,2021-01-02,09:18:43,Streaming,,,17.0,0 days 00:06:15,3,Saturday,2,9,January,6.0
ID0062,Joe,2021-01-02,09:18:43,Technical Support,,,,,,Saturday,2,9,January,
ID0063,Dan,2021-01-02,09:20:10,Streaming,,,96.0,0 days 00:06:46,1,Saturday,2,9,January,7.0
ID0064,Stewart,2021-01-02,09:20:10,Streaming,,,90.0,0 days 00:06:23,3,Saturday,2,9,January,6.0
ID0065,Jim,2021-01-02,09:38:53,Contract related,,,98.0,0 days 00:06:25,2,Saturday,2,9,January,6.0
ID0066,Diane,2021-01-02,09:38:53,Technical Support,,,90.0,0 days 00:01:23,4,Saturday,2,9,January,1.0
ID0067,Jim,2021-01-02,10:04:48,Contract related,,,98.0,0 days 00:05:49,5,Saturday,2,10,January,6.0
ID0068,Jim,2021-01-02,10:04:48,Contract related,,,70.0,0 days 00:03:12,5,Saturday,2,10,January,3.0
ID0069,Diane,2021-01-02,10:33:36,Contract related,,,69.0,0 days 00:04:45,4,Saturday,2,10,January,5.0
ID0070,Diane,2021-01-02,10:33:36,Admin Support,,,,,,Saturday,2,10,January,
ID0071,Joe,2021-01-02,11:08:10,Technical Support,,,120.0,0 days 00:02:11,4,Saturday,2,11,January,2.0
ID0072,Stewart,2021-01-02,11:08:10,Admin Support,,,113.0,0 days 00:05:51,5,Saturday,2,11,January,6.0
ID0073,Greg,2021-01-02,11:26:53,Payment related,,,10.0,0 days 00:02:19,5,Saturday,2,11,January,2.0
ID0074,Becky,2021-01-02,11:26:53,Contract related,,,122.0,0 days 00:04:53,1,Saturday,2,11,January,5.0
ID0075,Stewart,2021-01-02,11:42:43,Technical Support,,,125.0,0 days 00:01:38,3,Saturday,2,11,January,2.0
ID0076,Diane,2021-01-02,11:42:43,Admin Support,,,,,,Saturday,2,11,January,
ID0077,Martha,2021-01-02,11:47:02,Technical Support,,,33.0,0 days 00:06:38,2,Saturday,2,11,January,7.0
ID0078,Dan,2021-01-02,11:47:02,Contract related,,,51.0,0 days 00:06:22,2,Saturday,2,11,January,6.0
ID0079,Becky,2021-01-02,11:54:14,Contract related,,,58.0,0 days 00:03:28,3,Saturday,2,11,January,3.0
ID0080,Dan,2021-01-02,11:54:14,Admin Support,,,121.0,0 days 00:04:47,5,Saturday,2,11,January,5.0
ID0081,Diane,2021-01-02,12:00:00,Admin Support,,,118.0,0 days 00:02:06,4,Saturday,2,12,January,2.0
ID0082,Greg,2021-01-02,12:00:00,Payment related,,,52.0,0 days 00:06:56,4,Saturday,2,12,January,7.0
ID0083,Stewart,2021-01-02,12:20:10,Admin Support,,,55.0,0 days 00:04:44,3,Saturday,2,12,January,5.0
ID0084,Dan,2021-01-02,12:20:10,Contract related,,,68.0,0 days 00:05:59,4,Saturday,2,12,January,6.0
ID0085,Becky,2021-01-02,12:41:46,Technical Support,,,106.0,0 days 00:04:22,5,Saturday,2,12,January,4.0
ID0086,Martha,2021-01-02,12:41:46,Technical Support,,,32.0,0 days 00:04:36,3,Saturday,2,12,January,5.0
ID0087,Jim,2021-01-02,12:44:38,Payment related,,,,,,Saturday,2,12,January,
ID0088,Martha,2021-01-02,12:44:38,Admin Support,,,45.0,0 days 00:01:26,4,Saturday,2,12,January,1.0
ID0089,Joe,2021-01-02,12:59:02,Technical Support,,,119.0,0 days 00:03:32,4,Saturday,2,12,January,4.0
ID0090,Dan,2021-01-02,12:59:02,Streaming,,,,,,Saturday,2,12,January,
ID0091,Jim,2021-01-02,13:03:22,Contract related,,,46.0,0 days 00:05:41,1,Saturday,2,13,January,6.0
ID0092,Stewart,2021-01-02,13:03:22,Technical Support,,,101.0,0 days 00:01:28,3,Saturday,2,13,January,1.0
ID0093,Jim,2021-01-02,13:04:48,Technical Support,,,56.0,0 days 00:02:52,3,Saturday,2,13,January,3.0
ID0094,Becky,2021-01-02,13:04:48,Technical Support,,,80.0,0 days 00:00:53,3,Saturday,2,13,January,1.0
ID0095,Diane,2021-01-02,13:13:26,Streaming,,,24.0,0 days 00:01:36,3,Saturday,2,13,January,2.0
ID0096,Stewart,2021-01-02,13:13:26,Payment related,,,113.0,0 days 00:03:54,2,Saturday,2,13,January,4.0
ID0097,Greg,2021-01-02,13:20:38,Contract related,,,19.0,0 days 00:02:03,4,Saturday,2,13,January,2.0
ID0098,Martha,2021-01-02,13:20:38,Streaming,,,,,,Saturday,2,13,January,
ID0099,Dan,2021-01-02,13:20:38,Contract related,,,45.0,0 days 00:06:37,3,Saturday,2,13,January,7.0
ID0100,Diane,2021-01-02,13:20:38,Technical Support,,,95.0,0 days 00:05:11,1,Saturday,2,13,January,5.0
ID0101,Becky,2021-01-02,13:45:07,Technical Support,,,,,,Saturday,2,13,January,
ID0102,Martha,2021-01-02,13:45:07,Technical Support,,,79.0,0 days 00:05:31,1,Saturday,2,13,January,6.0
ID0103,Diane,2021-01-02,13:49:26,Payment related,,,22.0,0 days 00:03:56,2,Saturday,2,13,January,4.0
ID0104,Martha,2021-01-02,13:49:26,Contract related,,,38.0,0 days 00:06:36,1,Saturday,2,13,January,7.0
ID0105,Becky,2021-01-02,13:53:46,Technical Support,,,112.0,0 days 00:03:25,5,Saturday,2,13,January,3.0
ID0106,Becky,2021-01-02,13:53:46,Payment related,,,65.0,0 days 00:04:57,3,Saturday,2,13,January,5.0
ID0107,Joe,2021-01-02,14:22:34,Streaming,,,,,,Saturday,2,14,January,
ID0108,Becky,2021-01-02,14:22:34,Contract related,,,55.0,0 days 00:02:32,1,Saturday,2,14,January,3.0
ID0109,Stewart,2021-01-02,14:52:48,Admin Support,,,,,,Saturday,2,14,January,
ID0110,Joe,2021-01-02,14:52:48,Streaming,,,19.0,0 days 00:02:38,2,Saturday,2,14,January,3.0
ID0111,Becky,2021-01-02,15:10:05,Technical Support,,,53.0,0 days 00:00:56,3,Saturday,2,15,January,1.0
ID0112,Diane,2021-01-02,15:10:05,Technical Support,,,24.0,0 days 00:06:06,5,Saturday,2,15,January,6.0
ID0113,Martha,2021-01-02,15:36:00,Streaming,,,73.0,0 days 00:06:01,3,Saturday,2,15,January,6.0
ID0114,Stewart,2021-01-02,15:36:00,Technical Support,,,,,,Saturday,2,15,January,
ID0115,Jim,2021-01-02,17:36:58,Technical Support,,,55.0,0 days 00:05:47,5,Saturday,2,17,January,6.0
ID0116,Greg,2021-01-02,17:36:58,Payment related,,,,,,Saturday,2,17,January,
ID0117,Diane,2021-01-02,17:47:02,Streaming,,,,,,Saturday,2,17,January,
ID0118,Martha,2021-01-02,17:47:02,Streaming,,,23.0,0 days 00:05:18,4,Saturday,2,17,January,5.0
ID0119,Dan,2021-01-03,09:10:05,Payment related,,,124.0,0 days 00:02:23,5,Sunday,3,9,January,2.0
ID0120,Dan,2021-01-03,09:10:05,Contract related,,,,,,Sunday,3,9,January,
ID0121,Dan,2021-01-03,09:47:31,Technical Support,,,103.0,0 days 00:01:01,4,Sunday,3,9,January,1.0
ID0122,Martha,2021-01-03,09:47:31,Contract related,,,69.0,0 days 00:03:45,4,Sunday,3,9,January,4.0
ID0123,Joe,2021-01-03,10:29:17,Streaming,,,78.0,0 days 00:01:12,3,Sunday,3,10,January,1.0
ID0124,Martha,2021-01-03,10:29:17,Technical Support,,,78.0,0 days 00:03:26,5,Sunday,3,10,January,3.0
ID0125,Martha,2021-01-03,10:37:55,Technical Support,,,,,,Sunday,3,10,January,
ID0126,Diane,2021-01-03,10:37:55,Payment related,,,44.0,0 days 00:05:38,4,Sunday,3,10,January,6.0
ID0127,Martha,2021-01-03,10:52:19,Admin Support,,,35.0,0 days 00:02:46,4,Sunday,3,10,January,3.0
ID0128,Becky,2021-01-03,10:52:19,Admin Support,,,102.0,0 days 00:05:26,4,Sunday,3,10,January,5.0
ID0129,Jim,2021-01-03,10:52:19,Contract related,,,99.0,0 days 00:05:51,3,Sunday,3,10,January,6.0
ID0130,Jim,2021-01-03,10:52:19,Admin Support,,,29.0,0 days 00:04:09,3,Sunday,3,10,January,4.0
ID0131,Becky,2021-01-03,10:58:05,Admin Support,,,42.0,0 days 00:00:59,5,Sunday,3,10,January,1.0
ID0132,Diane,2021-01-03,10:58:05,Payment related,,,113.0,0 days 00:05:40,4,Sunday,3,10,January,6.0
ID0133,Dan,2021-01-03,11:02:24,Admin Support,,,124.0,0 days 00:00:53,2,Sunday,3,11,January,1.0
ID0134,Jim,2021-01-03,11:02:24,Technical Support,,,,,,Sunday,3,11,January,
ID0135,Dan,2021-01-03,11:03:50,Payment related,,,55.0,0 days 00:02:13,1,Sunday,3,11,January,2.0
ID0136,Greg,2021-01-03,11:03:50,Technical Support,,,105.0,0 days 00:05:59,3,Sunday,3,11,January,6.0
ID0137,Stewart,2021-01-03,11:06:43,Contract related,,,112.0,0 days 00:03:12,5,Sunday,3,11,January,3.0
ID0138,Martha,2021-01-03,11:06:43,Contract related,,,,,,Sunday,3,11,January,
ID0139,Becky,2021-01-03,11:16:48,Technical Support,,,43.0,0 days 00:06:20,5,Sunday,3,11,January,6.0
ID0140,Joe,2021-01-03,11:16:48,Payment related,,,20.0,0 days 00:01:44,3,Sunday,3,11,January,2.0
ID0141,Greg,2021-01-03,11:26:53,Technical Support,,,84.0,0 days 00:01:43,5,Sunday,3,11,January,2.0
ID0142,Jim,2021-01-03,11:26:53,Contract related,,,20.0,0 days 00:02:44,4,Sunday,3,11,January,3.0
ID0143,Greg,2021-01-03,11:38:24,Streaming,,,101.0,0 days 00:02:16,3,Sunday,3,11,January,2.0
ID0144,Diane,2021-01-03,11:38:24,Technical Support,,,31.0,0 days 00:02:55,5,Sunday,3,11,January,3.0
ID0145,Jim,2021-01-03,11:52:48,Contract related,,,56.0,0 days 00:04:09,5,Sunday,3,11,January,4.0
ID0146,Joe,2021-01-03,11:52:48,Contract related,,,,,,Sunday,3,11,January,
ID0147,Joe,2021-01-03,11:55:41,Payment related,,,77.0,0 days 00:01:27,5,Sunday,3,11,January,1.0
ID0148,Jim,2021-01-03,11:55:41,Payment related,,,46.0,0 days 00:00:50,4,Sunday,3,11,January,1.0
ID0149,Stewart,2021-01-03,11:58:34,Admin Support,,,88.0,0 days 00:04:26,3,Sunday,3,11,January,4.0
ID0150,Diane,2021-01-03,11:58:34,Payment related,,,88.0,0 days 00:00:58,1,Sunday,3,11,January,1.0
ID0151,Joe,2021-01-03,12:33:07,Technical Support,,,124.0,0 days 00:06:03,1,Sunday,3,12,January,6.0
ID0152,Stewart,2021-01-03,12:33:07,Contract related,,,,,,Sunday,3,12,January,
ID0153,Martha,2021-01-03,12:54:43,Payment related,,,52.0,0 days 00:06:59,4,Sunday,3,12,January,7.0
ID0154,Joe,2021-01-03,12:54:43,Admin Support,,,67.0,0 days 00:06:10,5,Sunday,3,12,January,6.0
ID0155,Martha,2021-01-03,13:12:00,Payment related,,,119.0,0 days 00:04:16,3,Sunday,3,13,January,4.0
ID0156,Dan,2021-01-03,13:12:00,Admin Support,,,98.0,0 days 00:04:37,2,Sunday,3,13,January,5.0
ID0157,Jim,2021-01-03,13:14:53,Technical Support,,,,,,Sunday,3,13,January,
ID0158,Joe,2021-01-03,13:14:53,Technical Support,,,118.0,0 days 00:04:18,3,Sunday,3,13,January,4.0
ID0159,Becky,2021-01-03,13:27:50,Admin Support,,,123.0,0 days 00:01:15,3,Sunday,3,13,January,1.0
ID0160,Becky,2021-01-03,13:27:50,Streaming,,,86.0,0 days 00:05:37,1,Sunday,3,13,January,6.0
ID0161,Greg,2021-01-03,13:35:02,Admin Support,,,104.0,0 days 00:02:09,3,Sunday,3,13,January,2.0
ID0162,Greg,2021-01-03,13:35:02,Payment related,,,69.0,0 days 00:01:33,2,Sunday,3,13,January,2.0
ID0163,Dan,2021-01-03,13:58:05,Contract related,,,113.0,0 days 00:02:38,1,Sunday,3,13,January,3.0
ID0164,Joe,2021-01-03,13:58:05,Streaming,,,88.0,0 days 00:03:23,5,Sunday,3,13,January,3.0
ID0165,Joe,2021-01-03,13:58:05,Streaming,,,,,,Sunday,3,13,January,
ID0166,Stewart,2021-01-03,13:58:05,Payment related,,,,,,Sunday,3,13,January,
ID0167,Joe,2021-01-03,14:03:50,Payment related,,,84.0,0 days 00:00:58,2,Sunday,3,14,January,1.0
ID0168,Diane,2021-01-03,14:03:50,Streaming,,,113.0,0 days 00:01:22,3,Sunday,3,14,January,1.0
ID0169,Joe,2021-01-03,14:47:02,Streaming,,,38.0,0 days 00:05:31,4,Sunday,3,14,January,6.0
ID0170,Dan,2021-01-03,14:47:02,Streaming,,,14.0,0 days 00:06:14,4,Sunday,3,14,January,6.0
ID0171,Martha,2021-01-03,15:34:34,Streaming,,,25.0,0 days 00:05:32,4,Sunday,3,15,January,6.0
ID0172,Dan,2021-01-03,15:34:34,Contract related,,,,,,Sunday,3,15,January,
ID0173,Diane,2021-01-03,16:29:17,Technical Support,,,,,,Sunday,3,16,January,
ID0174,Joe,2021-01-03,16:29:17,Payment related,,,117.0,0 days 00:02:07,4,Sunday,3,16,January,2.0
ID0175,Stewart,2021-01-03,17:31:12,Payment related,,,57.0,0 days 00:06:01,2,Sunday,3,17,January,6.0
ID0176,Martha,2021-01-03,17:31:12,Technical Support,,,119.0,0 days 00:05:19,5,Sunday,3,17,January,5.0
ID0177,Martha,2021-01-04,09:01:26,Contract related,,,,,,Monday,4,9,January,
ID0178,Diane,2021-01-04,09:01:26,Streaming,,,93.0,0 days 00:06:32,5,Monday,4,9,January,7.0
ID0179,Martha,2021-01-04,09:31:41,Payment related,,,86.0,0 days 00:01:04,4,Monday,4,9,January,1.0
ID0180,Joe,2021-01-04,09:31:41,Streaming,,,,,,Monday,4,9,January,
ID0181,Dan,2021-01-04,09:43:12,Contract related,,,92.0,0 days 00:02:59,3,Monday,4,9,January,3.0
ID0182,Greg,2021-01-04,09:43:12,Streaming,,,,,,Monday,4,9,January,
ID0183,Martha,2021-01-04,10:03:22,Technical Support,,,106.0,0 days 00:05:42,3,Monday,4,10,January,6.0
ID0184,Stewart,2021-01-04,10:03:22,Technical Support,,,67.0,0 days 00:02:44,3,Monday,4,10,January,3.0
ID0185,Jim,2021-01-04,10:27:50,Streaming,,,90.0,0 days 00:04:17,3,Monday,4,10,January,4.0
ID0186,Diane,2021-01-04,10:27:50,Technical Support,,,,,,Monday,4,10,January,
ID0187,Becky,2021-01-04,11:09:36,Streaming,,,50.0,0 days 00:03:49,4,Monday,4,11,January,4.0
ID0188,Diane,2021-01-04,11:09:36,Admin Support,,,89.0,0 days 00:04:16,3,Monday,4,11,January,4.0
ID0189,Jim,2021-01-04,11:13:55,Admin Support,,,74.0,0 days 00:06:18,3,Monday,4,11,January,6.0
ID0190,Martha,2021-01-04,11:13:55,Payment related,,,63.0,0 days 00:02:22,2,Monday,4,11,January,2.0
ID0191,Becky,2021-01-04,11:18:14,Contract related,,,45.0,0 days 00:06:31,5,Monday,4,11,January,7.0
ID0192,Martha,2021-01-04,11:18:14,Technical Support,,,,,,Monday,4,11,January,
ID0193,Dan,2021-01-04,11:22:34,Payment related,,,31.0,0 days 00:06:43,2,Monday,4,11,January,7.0
ID0194,Joe,2021-01-04,11:22:34,Streaming,,,,,,Monday,4,11,January,
ID0195,Joe,2021-01-04,11:32:38,Contract related,,,43.0,0 days 00:03:44,5,Monday,4,11,January,4.0
ID0196,Martha,2021-01-04,11:32:38,Streaming,,,50.0,0 days 00:05:42,4,Monday,4,11,January,6.0
ID0197,Dan,2021-01-04,12:02:53,Technical Support,,,48.0,0 days 00:05:12,4,Monday,4,12,January,5.0
ID0198,Martha,2021-01-04,12:02:53,Admin Support,,,113.0,0 days 00:02:44,5,Monday,4,12,January,3.0
ID0199,Jim,2021-01-04,12:15:50,Streaming,,,,,,Monday,4,12,January,
ID0200,Joe,2021-01-04,12:15:50,Technical Support,,,103.0,0 days 00:06:40,5,Monday,4,12,January,7.0
ID0201,Becky,2021-01-04,12:15:50,Technical Support,,,95.0,0 days 00:04:27,3,Monday,4,12,January,4.0
ID0202,Joe,2021-01-04,12:15:50,Admin Support,,,30.0,0 days 00:05:04,1,Monday,4,12,January,5.0
ID0203,Greg,2021-01-04,13:32:10,Admin Support,,,124.0,0 days 00:03:19,3,Monday,4,13,January,3.0
ID0204,Diane,2021-01-04,13:32:10,Admin Support,,,17.0,0 days 00:02:03,5,Monday,4,13,January,2.0
ID0205,Stewart,2021-01-04,13:45:07,Streaming,,,113.0,0 days 00:06:00,3,Monday,4,13,January,6.0
ID0206,Jim,2021-01-04,13:45:07,Technical Support,,,25.0,0 days 00:02:27,5,Monday,4,13,January,2.0
ID0207,Jim,2021-01-04,13:56:38,Admin Support,,,52.0,0 days 00:04:22,5,Monday,4,13,January,4.0
ID0208,Dan,2021-01-04,13:56:38,Admin Support,,,28.0,0 days 00:02:44,5,Monday,4,13,January,3.0
ID0209,Greg,2021-01-04,14:25:26,Technical Support,,,69.0,0 days 00:03:05,3,Monday,4,14,January,3.0
ID0210,Martha,2021-01-04,14:25:26,Streaming,,,106.0,0 days 00:03:52,3,Monday,4,14,January,4.0
ID0211,Jim,2021-01-04,14:28:19,Technical Support,,,,,,Monday,4,14,January,
ID0212,Joe,2021-01-04,14:28:19,Payment related,,,26.0,0 days 00:04:59,3,Monday,4,14,January,5.0
ID0213,Joe,2021-01-04,14:31:12,Payment related,,,53.0,0 days 00:05:55,4,Monday,4,14,January,6.0
ID0214,Martha,2021-01-04,14:31:12,Technical Support,,,77.0,0 days 00:04:10,2,Monday,4,14,January,4.0
ID0215,Jim,2021-01-04,14:49:55,Contract related,,,45.0,0 days 00:03:02,3,Monday,4,14,January,3.0
ID0216,Becky,2021-01-04,14:49:55,Technical Support,,,,,,Monday,4,14,January,
ID0217,Greg,2021-01-04,15:23:02,Streaming,,,56.0,0 days 00:04:16,4,Monday,4,15,January,4.0
ID0218,Stewart,2021-01-04,15:23:02,Admin Support,,,13.0,0 days 00:03:56,2,Monday,4,15,January,4.0
ID0219,Stewart,2021-01-04,15:48:58,Admin Support,,,120.0,0 days 00:06:50,5,Monday,4,15,January,7.0
ID0220,Diane,2021-01-04,15:48:58,Payment related,,,22.0,0 days 00:00:50,1,Monday,4,15,January,1.0
ID0221,Martha,2021-01-04,16:48:00,Payment related,,,81.0,0 days 00:03:21,4,Monday,4,16,January,3.0
ID0222,Jim,2021-01-04,16:48:00,Streaming,,,,,,Monday,4,16,January,
ID0223,Martha,2021-01-04,16:49:26,Contract related,,,71.0,0 days 00:00:48,2,Monday,4,16,January,1.0
ID0224,Stewart,2021-01-04,16:49:26,Payment related,,,75.0,0 days 00:01:33,4,Monday,4,16,January,2.0
ID0225,Martha,2021-01-04,16:49:26,Technical Support,,,77.0,0 days 00:02:42,4,Monday,4,16,January,3.0
ID0226,Joe,2021-01-04,16:49:26,Streaming,,,88.0,0 days 00:06:27,4,Monday,4,16,January,6.0
ID0227,Stewart,2021-01-04,17:35:31,Admin Support,,,82.0,0 days 00:03:05,2,Monday,4,17,January,3.0
ID0228,Jim,2021-01-04,17:35:31,Technical Support,,,110.0,0 days 00:06:30,3,Monday,4,17,January,6.0
ID0229,Martha,2021-01-04,17:39:50,Admin Support,,,70.0,0 days 00:01:32,3,Monday,4,17,January,2.0
ID0230,Becky,2021-01-04,17:39:50,Admin Support,,,117.0,0 days 00:03:40,3,Monday,4,17,January,4.0
ID0231,Joe,2021-01-05,09:08:38,Streaming,,,18.0,0 days 00:00:50,3,Tuesday,5,9,January,1.0
ID0232,Joe,2021-01-05,09:08:38,Streaming,,,113.0,0 days 00:02:36,4,Tuesday,5,9,January,3.0
ID0233,Stewart,2021-01-05,09:25:55,Contract related,,,68.0,0 days 00:03:29,5,Tuesday,5,9,January,3.0
ID0234,Greg,2021-01-05,09:25:55,Payment related,,,67.0,0 days 00:04:14,5,Tuesday,5,9,January,4.0
ID0235,Joe,2021-01-05,09:33:07,Technical Support,,,36.0,0 days 00:01:07,5,Tuesday,5,9,January,1.0
ID0236,Stewart,2021-01-05,09:33:07,Streaming,,,,,,Tuesday,5,9,January,
ID0237,Becky,2021-01-05,10:00:29,Technical Support,,,33.0,0 days 00:02:30,1,Tuesday,5,10,January,2.0
ID0238,Dan,2021-01-05,10:00:29,Contract related,,,113.0,0 days 00:01:59,5,Tuesday,5,10,January,2.0
ID0239,Greg,2021-01-05,10:49:26,Contract related,,,106.0,0 days 00:06:19,3,Tuesday,5,10,January,6.0
ID0240,Joe,2021-01-05,10:49:26,Streaming,,,23.0,0 days 00:04:59,3,Tuesday,5,10,January,5.0
ID0241,Joe,2021-01-05,11:31:12,Streaming,,,,,,Tuesday,5,11,January,
ID0242,Greg,2021-01-05,11:31:12,Payment related,,,11.0,0 days 00:04:42,1,Tuesday,5,11,January,5.0
